在冰上|On Ice
在火星上|On Mars
在職|In Office
在太空中|In space
在太空中|In Space
在戰區|In Warzone
在森林裡|In forest
在叢林中|In Jungle
在水下的|Underwater
在月球上|On the Moon
在小巷裏|In Alleyway
在大教堂|In Cathedral
在內殿|In side Temple
在海岸線上|On Coastline
在太空梭上|In Spaceship
在戰場|On Battlefield
在廢墟中|In Ruined city
在網路空間|In Cyberspace
在內側城堡|In side Castle
在森林深處|In Deep forest
在黑暗的洞穴裏|In Dark cave
在小行星上|On an asteroid
在軍事基地|In Military base
在神秘區域|In Mystical area
在優雅的房間|In Elegant room
在太空梭內部|Inside spaceship
在風大的沙漠中|In Windy desert
在美麗的湖面|On Beautiful lake
在雪山上|On Snowy mountaintop
在賽博朋克都市|In Cyberpunk city
在熱帶島嶼上|On Tropical island
在魔法森林|In Enchanted Forest
在廢棄工廠|In Abandoned factory
在夢幻般的風景|In Dreamy landscape
在未來主義的都市|In Futuristic city
花店前|In front of Flower shop
在槍支商店前|In front of Gun shop
在裝甲店前|In front of Armor shop
在地下設施內|In Underground facility
在後世界末日的荒原上|In Postapocalyptic wasteland
