媚魔|Succubus
人類|Human
惡魔|devil
精靈/妖精|Elf/Fairy
黑暗精靈|Dark Elf
半精靈|Halfelf
天使|angel
幽靈/鬼魂|Ghost
妖精|Fairy
無頭騎士|Durahan
獸人|Orc
獸人X|Ork
人魚|Mermaid
狼人|Werewolf
哥布林|Goblin
吸血鬼|vampire
史萊姆|slime
犄角|horns
尖耳朵|pointy ears
人外|monster girl  
獸耳|Beast ears
貓耳|cat ears
狸貓|tanuki
浣熊|racoon
翅膀|wings
羽毛翅膀|feathers
機器人|robotmecha
狐娘|fox girl
神官|clergy
舞娘|dancer
騎士|knight
娼婦|prostitute
強盜|bandit
受付娘|reception girl
農婦|countrywoman
戰士|Warrior
狂戰士|Berserker
野蠻人|Barbarian
雇傭兵|Mercenary
騎兵|Rider
龍騎士|Dragoon
聖騎士|Paladin
格鬥選手|Grappler
弓箭手|Archer
十字弓手|Crossbowman
海盜|Pirate
盜賊|Thief
暗殺者|Assassin
遊俠|Ranger
巫師|Witch
法師|Mage
巫婆|Sorceress
牧師|Cleric
招喚師|Summoner
詩人|Bard
舞娘|Dancer
商人|Merchant
兔女郎|playboy bunny
啦啦隊長|cheerleader
女僕|maid
護士|nurse
修女|nun
殭屍|Jiangshi
幼なじみ|Childhood Friend
青梅竹馬|Childhood Friend
大小姐|Miss
女忍者|Kunoichi (Ninja Girl)
軍服|Army Uniform
員警/刑警|Police/Detective
殭屍|Zombie
外國人|Foreigner
學生|Student
工人|Bluecollar Worker
已婚者|Married person
義姐|Older Stepsister
巫女|miko
魔法少女|magical girl
天使|Angel
非人(隨機)|monster girl  
接待女孩|reception girl
舞孃|Dancer
OL|Office lady
哥哥|Older Brother
反派大小姐|Villainous Daughter
阿拉伯|Arab
醫生|Doctor
妹妹|Younger Sister
知識份子|Intelligent
女服務生|Waitress
圍裙|Apron
精靈/妖精|Elf/Fairy
王子/王子系|Prince
叔父/義父|Uncle/Fatherinlaw
大小姐|Upperclass Girl
襲受|Aggressive Bottom
弟弟|Younger Brother
偽娘|Otoko no Ko
姐姐|Oneesan/Older Girl/Older Sister
老頭/大叔|Middleaged Man
